Energy (MeV/n),H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni
12.1532,0.194609,0.0631438,9.86595e-05,4.28868e-05,0.000331634,0.00157539,0.000307614,0.00152308,1.71911e-05,0.000216767,4.02655e-05,0.000335383,4.22772e-05,0.00024708,3.55986e-06,2.93164e-05,3.59392e-06,6.12004e-06,7.0975e-06,3.42509e-05,4.9613e-06,2.23132e-05,1.03569e-05,2.12409e-05,1.51399e-05,0.000191303,1.10814e-06,8.6058e-06
13.6349,0.221081,0.0716028,0.000111331,4.83949e-05,0.0003736,0.00178326,0.000348942,0.00172681,1.94375e-05,0.000245354,4.5667e-05,0.000379632,4.78764e-05,0.00027984,4.01875e-06,3.32562e-05,4.06589e-06,6.88917e-06,8.02946e-06,3.88125e-05,5.62564e-06,2.52729e-05,1.17406e-05,2.40604e-05,1.71159e-05,0.000217075,1.25848e-06,9.79092e-06
15.2953,0.251179,0.0811333,0.000125577,5.45888e-05,0.000420442,0.00201666,0.000395655,0.00195634,2.1966e-05,0.000277468,5.17597e-05,0.000429273,5.41789e-05,0.000316634,4.53504e-06,3.77107e-05,4.59864e-06,7.75508e-06,9.08023e-06,4.39427e-05,6.37673e-06,2.86063e-05,1.33019e-05,2.7236e-05,1.93301e-05,0.000246093,1.42805e-06,1.11331e-05
17.1538,0.285352,0.0918246,0.000141557,6.15386e-05,0.000472514,0.00227756,0.000448285,0.00221385,2.48036e-05,0.00031339,5.86053e-05,0.000484689,6.12453e-05,0.000357758,5.11462e-06,4.27317e-05,5.19875e-06,8.72858e-06,1.02619e-05,4.9686e-05,7.22346e-06,3.23465e-05,1.50575e-05,3.07993e-05,2.17999e-05,0.000278604,1.61837e-06,1.2647e-05
19.2347,0.32415,0.103776,0.000159463,6.93297e-05,0.000530226,0.00256806,0.000507448,0.00250177,2.79821e-05,0.000353429,6.62726e-05,0.000546294,6.91447e-05,0.000403534,5.76467e-06,4.83792e-05,5.87416e-06,9.82304e-06,1.15888e-05,5.60908e-05,8.17628e-06,3.65311e-05,1.70265e-05,3.47859e-05,2.45443e-05,0.000314873,1.83111e-06,1.43483e-05
21.5643,0.368158,0.117068,0.000179491,7.8049e-05,0.000593931,0.00288988,0.000573721,0.00282213,3.15323e-05,0.00039784,7.48217e-05,0.000614394,7.79371e-05,0.000454203,6.49246e-06,5.47099e-05,6.633e-06,1.10525e-05,1.30753e-05,6.31956e-05,9.24526e-06,4.11935e-05,1.92261e-05,3.92274e-05,2.75783e-05,0.000355095,2.06753e-06,1.62506e-05
24.1744,0.41805,0.131777,0.000201865,8.77963e-05,0.00066399,0.00324452,0.000647702,0.00317682,3.5487e-05,0.00044686,8.43105e-05,0.000689244,8.76818e-05,0.000509972,7.30631e-06,6.17833e-05,7.4845e-06,1.24334e-05,1.47368e-05,7.10339e-05,1.04412e-05,4.63671e-05,2.1674e-05,4.41553e-05,3.09155e-05,0.000399426,2.32866e-06,1.83661e-05
27.0974,0.474482,0.147931,0.000226785,9.86628e-05,0.000740608,0.0036324,0.000729821,0.00356668,3.98726e-05,0.000500584,9.47698e-05,0.00077085,9.84124e-05,0.00057086,8.21378e-06,6.96436e-05,8.43708e-06,1.39817e-05,1.65868e-05,7.96142e-05,1.17725e-05,5.20717e-05,2.43818e-05,4.95882e-05,3.45596e-05,0.000447861,2.61462e-06,2.06998e-05
30.3722,0.538182,0.165535,0.000254474,0.00011075,0.000823956,0.0040534,0.000820451,0.00399198,4.4715e-05,0.000559037,0.000106217,0.000859085,0.000110151,0.000636784,9.22321e-06,7.83299e-05,9.49987e-06,1.57155e-05,1.86389e-05,8.89311e-05,1.32472e-05,5.8322e-05,2.73587e-05,5.55391e-05,3.85094e-05,0.000500296,2.9249e-06,2.32523e-05
34.0407,0.609841,0.184536,0.000285131,0.00012415,0.000914036,0.00450606,0.000919729,0.00445162,5.00315e-05,0.00062207,0.000118634,0.000953529,0.000122888,0.000707439,1.03422e-05,8.78603e-05,1.06811e-05,1.76528e-05,2.09035e-05,9.89478e-05,1.48702e-05,6.51151e-05,3.06058e-05,6.20048e-05,4.27527e-05,0.000556429,3.25778e-06,2.60142e-05
38.1523,0.690156,0.204828,0.000318959,0.00013896,0.00101074,0.00498788,0.0010276,0.00494336,5.5834e-05,0.000689396,0.000131973,0.00105352,0.000136587,0.000782338,1.15784e-05,9.82352e-05,1.19886e-05,1.9813e-05,2.33895e-05,0.000109602,1.66438e-05,7.24348e-05,3.41178e-05,6.89687e-05,4.72678e-05,0.000615786,3.61053e-06,2.89674e-05
42.7625,0.779737,0.226241,0.000356133,0.000155265,0.00111379,0.00549484,0.00114371,0.00546334,6.21234e-05,0.000760523,0.000146141,0.00115809,0.000151172,0.000860747,1.29386e-05,0.000109426,1.34289e-05,2.22151e-05,2.61015e-05,0.000120794,1.85659e-05,8.02432e-05,3.78787e-05,7.63938e-05,5.20205e-05,0.000677673,3.97899e-06,3.20812e-05
47.9314,0.879009,0.248514,0.000396769,0.000173126,0.00122261,0.00602108,0.00126725,0.0060056,6.88833e-05,0.000834706,0.000160991,0.00126586,0.000166514,0.000941629,1.44272e-05,0.000121364,1.50057e-05,2.48759e-05,2.90371e-05,0.000132383,2.06276e-05,8.84744e-05,4.18587e-05,8.42161e-05,5.69601e-05,0.000741129,4.35741e-06,3.53106e-05
53.7315,0.988272,0.27133,0.000440966,0.0001926,0.00133652,0.00655956,0.00139712,0.00656286,7.60873e-05,0.000911034,0.000176335,0.00137522,0.000182451,0.00102376,1.60483e-05,0.00013395,1.67211e-05,2.78127e-05,3.21897e-05,0.000144198,2.28157e-05,9.70431e-05,4.60182e-05,9.23534e-05,6.20262e-05,0.00080503,4.73895e-06,3.85996e-05
60.2385,1.10741,0.294268,0.000488701,0.000213694,0.00145442,0.00710102,0.0015316,0.0071253,8.36816e-05,0.00098828,0.000191916,0.00148413,0.000198751,0.00110559,1.78012e-05,0.000147028,1.8572e-05,3.10362e-05,3.55413e-05,0.000156016,2.51069e-05,0.000105826,5.02985e-05,0.000100688,6.71386e-05,0.000867973,5.11503e-06,4.18759e-05
67.5509,1.23615,0.316883,0.000539949,0.000236414,0.00157518,0.00763577,0.00166876,0.00768248,9.16052e-05,0.00106515,0.000207454,0.00159047,0.000215163,0.00118549,1.96854e-05,0.000160421,2.05537e-05,3.45584e-05,3.90703e-05,0.000167606,2.74742e-05,0.00011469,5.46344e-05,0.000109091,7.22134e-05,0.00092851,5.47676e-06,4.50619e-05
75.7674,1.37355,0.338626,0.000594484,0.00026068,0.00169713,0.00815187,0.00180593,0.00822142,9.97599e-05,0.00114001,0.000222596,0.00169169,0.000231361,0.00126153,2.16926e-05,0.000173881,2.2653e-05,3.83788e-05,4.27386e-05,0.000178688,2.98779e-05,0.000123456,5.89389e-05,0.000117393,7.71457e-05,0.000984966,5.8138e-06,4.80662e-05
85.0071,1.5182,0.35893,0.000651983,0.000286375,0.00181843,0.00863698,0.00194017,0.00872861,0.00010803,0.00121115,0.000236969,0.00178523,0.000246993,0.00133175,2.38115e-05,0.000187131,2.48519e-05,4.24908e-05,4.64995e-05,0.000188973,3.22724e-05,0.000131933,6.31164e-05,0.000125413,8.18262e-05,0.00103568,6.11593e-06,5.07957e-05
95.4071,1.66812,0.377213,0.00071197,0.00031331,0.00193697,0.00907833,0.00206817,0.00919001,0.000116277,0.00127677,0.000250178,0.0018685,0.000261679,0.00139417,2.60245e-05,0.000199859,2.71255e-05,4.68768e-05,5.02947e-05,0.00019817,3.46047e-05,0.000139909,6.7062e-05,0.000132951,8.614e-05,0.00107905,6.37319e-06,5.31583e-05
107.142,1.82094,0.392918,0.000773871,0.00034126,0.0020505,0.00946368,0.00218656,0.00959214,0.000124348,0.00133512,0.000261838,0.00193907,0.00027504,0.00144696,2.83109e-05,0.000211746,2.94446e-05,5.15119e-05,5.40596e-05,0.000206002,3.68189e-05,0.000147175,7.06692e-05,0.000139809,8.99757e-05,0.00111361,6.57662e-06,5.50699e-05
120.354,1.9729,0.405454,0.000836611,0.000369772,0.00215605,0.00977964,0.00229131,0.00992039,0.000132034,0.00138423,0.000271527,0.00199437,0.000286634,0.00148818,3.06313e-05,0.000222404,3.1761e-05,5.63322e-05,5.77002e-05,0.000212179,3.88443e-05,0.00015348,7.38133e-05,0.000145755,9.32066e-05,0.00113798,6.71773e-06,5.6449e-05
135.291,2.12066,0.414386,0.000899287,0.000398471,0.00225112,0.0100162,0.00237918,0.0101639,0.000139158,0.0014226,0.000278919,0.00203255,0.000296114,0.00151647,3.29527e-05,0.000231517,3.4033e-05,6.12835e-05,6.11368e-05,0.000216492,4.06218e-05,0.000158629,7.63941e-05,0.000150605,9.57361e-05,0.00115122,6.79092e-06,5.72408e-05
